# Progression simulation
# runs=20000 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=10 ppoNormalRunsPerPrestige=500 ppoTrainingMovesPerRun=150
# finalChips=4045308 totalEarned=103226808 prestiges=4 insight=29 cycleInsight=0 lifetimeInsight=540 simSeconds=151608
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished	IncomeMix
1225	8984	Upgrade.StackCapacity	Stack Cap L5	11000000	chips	951122	229647122
1235	9013	Upgrade.SalvageProtocol	Salvage Protocol L10	12800000	chips	2053822	243549822
1243	9037	TokenPack	Token Pack	12400	chips	12655075	254163475
1244	9040	Upgrade.TokenDividend	Token Dividend L5	12800000	chips	1013051	255321451
1254	9070	Solver.PLAN	Solver PLAN	15000000	chips	648346	269956746
1263	9097	TokenPack	Token Pack	12400	chips	14417238	283738038
1264	9100	Upgrade.ChipYield	Chip Yield	15000000	chips	1016795	285337595
1275	9132	Upgrade.ScalingFrequency	Scaling Frequency L10	15000000	chips	1723353	301044153
1283	9156	TokenPack	Token Pack	12400	chips	13998589	313331789
1284	9159	Agent.Merge Broker	Agent Merge Broker	15000000	chips	295513	314628713
1301	9207	Agent.Token Prospector	Agent Token Prospector	25000000	chips	964824	340298024
1303	9213	TokenPack	Token Pack	12400	chips	3617665	342963265
1323	9270	TokenPack	Token Pack	12400	chips	30626756	369984756
1336	9308	Unlock.ModifiersMenu	Modifiers Menu	50000000	chips	1694357	391052357
1343	9327	TokenPack	Token Pack	12400	chips	48290852	437661252
1360	9376	Modifier.Neural Accelerator	Modifier Neural Accelerator L1	150000000	chips	7347403	546717803
1363	9385	TokenPack	Token Pack	12400	chips	31527665	570910465
1383	9441	TokenPack	Token Pack	12400	chips	171594930	710990130
1396	9479	Modifier.Unstable Stack	Modifier Unstable Stack L1	250000000	chips	8296372	797691572
1403	9500	TokenPack	Token Pack	12400	chips	55440085	844847685
1423	9559	TokenPack	Token Pack	12400	chips	198679743	988099743
1443	9617	TokenPack	Token Pack	12400	chips	337966073	1127398473
1445	9623	Modifier.Miner's Pickaxe	Modifier Miner's Pickaxe L1	350000000	chips	602309	1140034709
1463	9677	TokenPack	Token Pack	12400	chips	118470322	1257915122
1483	9738	TokenPack	Token Pack	12400	chips	279851813	1419309013
1493	9768	Modifier.Queue Scrubber	Modifier Queue Scrubber L1	350000000	chips	2351651	1491808851
1503	9800	TokenPack	Token Pack	12400	chips	76099651	1565569251
1523	9861	TokenPack	Token Pack	12400	chips	220296509	1709778509
1543	9923	TokenPack	Token Pack	12400	chips	371426844	1860921244
1561	9978	Modifier.Unstable Stack	Modifier Unstable Stack L2	500000000	chips	830252	1990324652
1563	9984	TokenPack	Token Pack	12400	chips	16227535	2005734335
1583	10047	TokenPack	Token Pack	12400	chips	158910533	2148429733
1603	10109	TokenPack	Token Pack	12400	chips	303549933	2293081533
1623	10174	TokenPack	Token Pack	12400	chips	459137789	2448681789
1643	10236	TokenPack	Token Pack	12400	chips	607189828	2596746228
1643	10236	Modifier.Miner's Pickaxe	Modifier Miner's Pickaxe L2	600000000	chips	7189828	2596746228
1663	10302	TokenPack	Token Pack	12400	chips	163642930	2753211730
1683	10367	TokenPack	Token Pack	12400	chips	314415380	2903996580
