# Progression simulation
# runs=27772 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=20 ppoNormalRunsPerPrestige=1000 ppoTrainingMovesPerRun=150
# finalChips=10000 totalEarned=250000 prestiges=20 insight=24262 cycleInsight=0 lifetimeInsight=837173 simSeconds=353145
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished
17	PPO bought	26444	320152	3377
17	PPO Normal mode	26444	320152	3377
17	Prestige #18	26445	329048	12272
18	First solver bought	26445	329048	0
18	Auto Solve	26445	329048	0
18	Auto Restart	26445	329048	0
18	Solver Tuning	26445	329048	0
18	Agents Menu	26541	329865	817
18	All agents hired	26938	331717	2669
18	Modifiers Menu	27072	332137	3089
18	All chip upgrades maxed	27097	332236	3188
18	All modifiers maxed (PPO gate)	27104	332268	3220
18	PPO bought	27116	332331	3283
18	PPO Normal mode	27116	332331	3283
18	Prestige #19	27117	341271	12223
19	First solver bought	27117	341271	0
19	Auto Solve	27117	341271	0
19	Auto Restart	27117	341271	0
19	Solver Tuning	27117	341271	0
19	Agents Menu	27211	342086	815
19	All agents hired	27606	343908	2637
19	Modifiers Menu	27730	344304	3033
19	All chip upgrades maxed	27755	344405	3134
19	All modifiers maxed (PPO gate)	27761	344435	3164
19	PPO bought	27771	344486	3215
19	PPO Normal mode	27771	344486	3215
19	Prestige #20	27772	353145	11874
20	First solver bought	27772	353145	0
20	Auto Solve	27772	353145	0
20	Auto Restart	27772	353145	0
20	Solver Tuning	27772	353145	0

# Purchases:
Run	SimSeconds	Label	Cost	Currency	BalanceAfter	TotalEarnedAfter
9	557	Solver RAND	1000	chips	5	1005
20	1223	Auto Solve	1200	chips	33	2233
46	1417	Solver MERG	3000	chips	34	5234
54	1524	Chip Yield	4000	chips	195	9395
59	1594	Active Multiplier L1	4000	chips	744	13944
65	1675	Passive Yield L1	5000	chips	353	18553
72	1771	Solver BAL	6000	chips	90	24290
80	1884	Speed L1	6000	chips	1224	31424
88	1968	Passive Tick Rate L1	7000	chips	226	37426
97	2066	Auto Restart	8000	chips	528	45728
110	2209	Stack Cap L1	12000	chips	536	57736
126	2406	Solver STALL	18000	chips	349	75549
156	2886	Active Multiplier L2	25000	chips	983	101183
186	3389	Passive Yield L2	28000	chips	773	128973
225	3998	Solver HEUR	30000	chips	1006	159206
249	4381	Solver Tuning	30000	chips	715	188915
275	4782	Speed L2	30000	chips	286	218486
305	5146	Passive Tick Rate L2	35000	chips	599	253799
340	5563	Token Pack	10000	chips	30464	293664
348	5632	Queue Preview	40000	chips	657	303857
380	5907	Token Pack	10000	chips	31011	344211
388	5977	Chip Yield	40000	chips	1169	354369
416	6216	Token Pack	10000	chips	33664	396864
435	6373	Difficulty L1	60000	chips	209	423409
470	6626	Token Pack	10000	chips	30366	463566
503	6867	Stack Cap L2	70000	chips	1011	504211
530	7089	Token Pack	10000	chips	30072	543272
565	7383	Solver LOOK	80000	chips	2068	595268
582	7583	Token Pack	10000	chips	32206	635406
605	7847	Profitable Ending L1	80000	chips	1994	685194
621	8040	Token Pack	10000	chips	30858	724058
645	8337	Scaling Frequency L1	90000	chips	4990	788190
666	8566	Token Pack	10000	chips	41976	835176
701	8949	Agents Menu	120000	chips	566	913766
707	9015	Agent Merge Broker	60000	chips	8223	981423
715	9100	Agent Highwater Analyst	120000	chips	7776	1100976
717	9121	Token Pack	10000	chips	33868	1137068
724	9190	Solver PLAN-3	130000	chips	4416	1237616
731	9294	Active Multiplier L3	130000	chips	21379	1384579
737	9387	Passive Yield L3	140000	chips	6476	1509676
746	9510	Speed L3	150000	chips	12502	1665702
754	9598	Compute Speed L1	150000	chips	40353	1843553
762	9672	Passive Tick Rate L3	175000	chips	20035	1998235
766	9712	Token Pack	10000	chips	91925	2080125
771	9758	Solver COMBO	180000	chips	4712	2172912
782	9846	Difficulty L2	180000	chips	6598	2354798
798	9958	Solver MOCA	220000	chips	902	2569102
812	10058	Agent Score Auditor	220000	chips	3786	2791986
816	10092	Token Pack	10000	chips	72138	2870338
829	10178	Profitable Ending L2	240000	chips	2344	3040544
850	10326	Compute Speed L2	300000	chips	17514	3355714
866	10431	Token Pack	10000	chips	213602	3561802
874	10481	Scaling Frequency L2	300000	chips	6241	3654441
899	10640	Chip Yield	350000	chips	9806	4008006
916	10752	Token Pack	10000	chips	269244	4277444
924	10804	Solver PLAN-5	400000	chips	14074	4422274
947	10954	Stack Cap L3	400000	chips	15484	4823684
966	11093	Token Pack	10000	chips	395390	5213590
967	11100	Queue Preview	400000	chips	13737	5231937
984	11231	Agent Overclocker	400000	chips	4902	5623102
1015	11417	Difficulty L3	600000	chips	6396	6224596
1018	11432	Token Pack	10000	chips	42423	6270623
1051	11611	Agent Quartermaster	650000	chips	1395	6879595
1066	11691	Token Pack	10000	chips	241408	7129608
1096	11847	Compute Speed L3	700000	chips	8800	7597000
1116	11956	Token Pack	10000	chips	337684	7935884
1140	12085	Active Multiplier L4	700000	chips	8416	8306616
1166	12222	Token Pack	10000	chips	430407	8738607
1185	12323	Profitable Ending L3	750000	chips	15977	9074177
1216	12490	Token Pack	10000	chips	544808	9613008
1227	12552	Passive Yield L4	750000	chips	12716	9830916
1266	12762	Token Pack	10000	chips	691744	10519944
1273	12799	Speed L4	800000	chips	13467	10641667
1316	12967	Token Pack	10000	chips	810313	11448513
1321	12987	Solver MOCA+	900000	chips	9797	11547997
1366	13159	Token Pack	10000	chips	797616	12345816
1373	13185	Scaling Frequency L3	900000	chips	6436	12454636
1416	13347	Token Pack	10000	chips	814512	13272712
1422	13369	Passive Tick Rate L4	900000	chips	36054	13394254
1466	13538	Token Pack	10000	chips	923110	14291310
1470	13553	Agent Restart Sponsor	1000000	chips	2177	14370377
1516	13726	Token Pack	10000	chips	862160	15240360
1549	13851	Extra Agent Slot	1500000	chips	8549	15886749
1566	13914	Token Pack	10000	chips	373613	16261813
1616	14106	Token Pack	10000	chips	1495061	17393261
1617	14109	Agent Token Prospector	1500000	chips	9548	17407748
1666	14296	Token Pack	10000	chips	1087412	18495612
1701	14429	Solver MCTS	1800000	chips	21172	19229372
1716	14482	Token Pack	10000	chips	291122	19509322
1766	14671	Token Pack	10000	chips	1401321	20629521
1783	14735	Difficulty L4	1800000	chips	37156	21065356
1816	14848	Token Pack	10000	chips	707344	21745544
1866	15020	Token Pack	10000	chips	1735302	22783502
1877	15061	Compute Speed L4	2000000	chips	1672	23049872
1916	15193	Token Pack	10000	chips	706496	23764696
1966	15372	Token Pack	10000	chips	1727288	24795488
1991	15458	Stack Cap L4	2200000	chips	29234	25297434
2016	15553	Token Pack	10000	chips	673853	25952053
2066	15744	Token Pack	10000	chips	1950557	27238757
2077	15785	Profitable Ending L4	2200000	chips	3012	27491212
2116	15927	Token Pack	10000	chips	917954	28416154
2166	16117	Token Pack	10000	chips	2166808	29675008
2168	16125	Agent Move Dividend	2200000	chips	18310	29726510
2216	16304	Token Pack	10000	chips	1195496	30913696
2266	16492	Token Pack	10000	chips	2494008	32222208
2267	16496	Chip Yield	2500000	chips	14587	32242787
2316	16674	Token Pack	10000	chips	1329771	33567971
2363	16850	Scaling Frequency L4	2700000	chips	3411	34941611
2366	16860	Token Pack	10000	chips	66023	35014223
2416	17038	Token Pack	10000	chips	1331911	36290111
2466	17225	Token Pack	10000	chips	2864715	37832915
2473	17250	Agent Velocity Trader	3000000	chips	24087	37992287
2516	17405	Token Pack	10000	chips	1801019	39779219
2558	17560	Passive Yield L5	3800000	chips	23307	41801507
2566	17588	Token Pack	10000	chips	296711	42084911
2616	17771	Token Pack	10000	chips	2336419	44134619
2661	17933	Speed L5	4000000	chips	4275	45802475
2666	17950	Token Pack	10000	chips	197915	46006115
2716	18100	Token Pack	10000	chips	2341975	48160175
2766	18250	Token Pack	10000	chips	4349595	50177795
2769	18260	Compute Speed L5	4500000	chips	28119	50356319
2816	18401	Token Pack	10000	chips	2005103	52343303
2866	18551	Token Pack	10000	chips	3978655	54326855
2879	18589	Passive Tick Rate L5	4500000	chips	38227	54886427
2916	18703	Token Pack	10000	chips	1539291	56397491
2966	18856	Token Pack	10000	chips	3715259	58583459
2986	18916	Active Multiplier L5	4500000	chips	7631	59375831
3016	19006	Token Pack	10000	chips	1230679	60608879
3066	19153	Token Pack	10000	chips	3329247	62717447
3116	19298	Token Pack	10000	chips	5222027	64620227
3135	19354	Difficulty L5	6000000	chips	1463	65399663
3166	19444	Token Pack	10000	chips	1418215	66826415
3200	19543	Modifiers Menu	3000000	chips	295	68408495
3205	19558	Modifier Unstable Stack L1	800000	chips	195907	69404107
3211	19576	Modifier Unstable Stack L2	1600000	chips	40845	70849045
3216	19592	Token Pack	10000	chips	1671247	72489447
3217	19595	Modifier Queue Scrubber L1	1800000	chips	126252	72744452
3226	19623	Modifier Miner's Pickaxe L1	2000000	chips	128617	74746817
3239	19665	Modifier Catalyst Stack L1	3000000	chips	59157	77677357
3249	19697	Modifier Mirror Stack L1	3000000	chips	278380	80896580
3252	19710	Modifier Unstable Stack L3	3200000	chips	115068	83933268
3257	19730	Modifier Queue Scrubber L2	3600000	chips	481781	87899981
3261	19746	Modifier Miner's Pickaxe L2	4000000	chips	345516	91763716
3266	19767	Token Pack	10000	chips	5441731	96869931
3266	19767	Modifier Joker L1	4500000	chips	941731	96869931
3270	19785	Modifier Neural Accelerator L1	6000000	chips	470606	102398806
3276	19813	Modifier Unstable Stack L4	6400000	chips	922567	109250767
3282	19839	Profitable Ending L5	7000000	chips	121471	115449671
3287	19864	Modifier Queue Scrubber L3	7200000	chips	689039	123217239
3291	19883	Scaling Frequency L5	8000000	chips	627626	131155826
3297	19910	Modifier Miner's Pickaxe L3	8000000	chips	2223047	140751247
3303	19939	Stack Cap L5	11000000	chips	1900534	151428734
3309	19969	Modifier Unstable Stack L5	12800000	chips	799851	163128051
3316	20002	Token Pack	10000	chips	14139870	176478070
3317	20007	Modifier Queue Scrubber L4	14400000	chips	1849713	178587913
3324	20042	Chip Yield	15000000	chips	1521540	193259740
3332	20079	Modifier Miner's Pickaxe L4	16000000	chips	1182218	208920418
3343	20137	Modifier Queue Scrubber L5	28800000	chips	399944	236938144
3355	20197	Modifier Miner's Pickaxe L5	32000000	chips	685890	269224090
3366	20254	Token Pack	10000	chips	25457570	294005770
3394	20401	Solver PPO	100000000	chips	334900	368883100
3400	31735	PPO Training Complete	0	frames	500000	368883100
3401	40046	Prestige +1 Insight	0	Insight	1	0
3401	40046	Research Seed Capital L1	1	Insight	0	0
3410	40630	Solver RAND	1000	chips	92	1092
3419	41216	Auto Solve	1200	chips	10	2210
3445	41413	Solver MERG	3000	chips	73	5273
3452	41510	Chip Yield	4000	chips	68	9268
3456	41569	Active Multiplier L1	4000	chips	69	13269
3462	41655	Passive Yield L1	5000	chips	639	18839
3468	41740	Solver BAL	6000	chips	286	24486
3476	41845	Speed L1	6000	chips	93	30293
3485	41940	Passive Tick Rate L1	7000	chips	32	37232
3494	42040	Auto Restart	8000	chips	180	45380
3509	42202	Stack Cap L1	12000	chips	493	57693
3528	42427	Solver STALL	18000	chips	816	76016
3556	42884	Active Multiplier L2	25000	chips	260	100460
3593	43457	Passive Yield L2	28000	chips	648	128848
3628	44022	Solver HEUR	30000	chips	1048	159248
3652	44403	Solver Tuning	30000	chips	717	188917
3675	44774	Speed L2	30000	chips	497	218697
3703	45123	Passive Tick Rate L2	35000	chips	538	253738
3737	45532	Token Pack	10000	chips	30351	293551
3746	45604	Queue Preview	40000	chips	385	303585
3779	45880	Token Pack	10000	chips	30844	344044
3786	45942	Chip Yield	40000	chips	140	353340
3814	46177	Token Pack	10000	chips	30770	393970
3833	46341	Difficulty L1	60000	chips	377	423577
3865	46579	Token Pack	10000	chips	30276	463476
3896	46814	Stack Cap L2	70000	chips	658	503858
3924	47048	Token Pack	10000	chips	30877	544077
3958	47330	Solver LOOK	80000	chips	335	593535
3976	47546	Token Pack	10000	chips	32120	635320
4000	47814	Profitable Ending L1	80000	chips	1706	684906
4017	48021	Token Pack	10000	chips	34858	728058
4041	48303	Scaling Frequency L1	90000	chips	1762	784962
4063	48548	Token Pack	10000	chips	42363	835563
4098	48935	Agents Menu	120000	chips	764	913964
4104	49002	Agent Merge Broker	60000	chips	6138	979338
4113	49092	Token Pack	10000	chips	108535	1091735
4114	49106	Agent Highwater Analyst	120000	chips	12087	1115287
4121	49186	Solver PLAN-3	130000	chips	10271	1243471
4128	49287	Active Multiplier L3	130000	chips	1372	1364572
4136	49404	Passive Yield L3	140000	chips	1308	1504508
4142	49501	Speed L3	150000	chips	2054	1655254
4149	49577	Compute Speed L1	150000	chips	2593	1805793
4158	49662	Passive Tick Rate L3	175000	chips	12446	1990646
4163	49715	Token Pack	10000	chips	128312	2116512
4167	49749	Solver COMBO	180000	chips	7411	2175611
4178	49839	Difficulty L2	180000	chips	17479	2365679
4192	49937	Solver MOCA	220000	chips	4710	2572910
4208	50046	Agent Score Auditor	220000	chips	10305	2798505
4213	50079	Token Pack	10000	chips	73560	2871760
4224	50156	Profitable Ending L2	240000	chips	7175	3045375
4246	50307	Compute Speed L2	300000	chips	9805	3348005
4263	50423	Token Pack	10000	chips	227904	3576104
4269	50462	Scaling Frequency L2	300000	chips	7620	3655820
4294	50622	Chip Yield	350000	chips	4351	4002551
4313	50742	Token Pack	10000	chips	314669	4322869
4318	50777	Solver PLAN-5	400000	chips	8396	4416596
4342	50934	Stack Cap L3	400000	chips	14108	4822308
4361	51077	Queue Preview	400000	chips	14795	5222995
4363	51092	Token Pack	10000	chips	49208	5267408
4379	51212	Agent Overclocker	400000	chips	8085	5626285
4409	51391	Difficulty L3	600000	chips	7987	6226187
4413	51411	Token Pack	10000	chips	76596	6304796
4445	51589	Agent Quartermaster	650000	chips	17526	6895726
4463	51684	Token Pack	10000	chips	302449	7190649
4485	51805	Compute Speed L3	700000	chips	3787	7591987
4513	51960	Token Pack	10000	chips	496729	8094929
4522	52014	Active Multiplier L4	700000	chips	10270	8308470
4563	52230	Token Pack	10000	chips	696044	9004244
4568	52255	Profitable Ending L3	750000	chips	14060	9072260
4608	52469	Passive Yield L4	750000	chips	15730	9823930
4613	52496	Token Pack	10000	chips	89290	9907490
4656	52722	Speed L4	800000	chips	6576	10624776
4663	52748	Token Pack	10000	chips	108634	10736834
4706	52918	Solver MOCA+	900000	chips	5693	11533893
4713	52946	Token Pack	10000	chips	125031	11663231
4756	53113	Scaling Frequency L3	900000	chips	17598	12455798
4763	53140	Token Pack	10000	chips	141894	12590094
4806	53298	Passive Tick Rate L4	900000	chips	2222	13350422
4813	53324	Token Pack	10000	chips	118706	13476906
4863	53507	Token Pack	10000	chips	979459	14347659
4865	53514	Agent Restart Sponsor	1000000	chips	12089	14380289
4913	53693	Token Pack	10000	chips	883706	15261906
4944	53811	Extra Agent Slot	1500000	chips	12181	15890381
4963	53884	Token Pack	10000	chips	439383	16327583
5013	54067	Token Pack	10000	chips	1493705	17391905
5014	54072	Agent Token Prospector	1500000	chips	28461	17426661
5063	54252	Token Pack	10000	chips	1070557	18478757
5099	54385	Solver MCTS	1800000	chips	16179	19224379
5113	54437	Token Pack	10000	chips	263022	19481222
5163	54624	Token Pack	10000	chips	1322060	20550260
5190	54723	Difficulty L4	1800000	chips	30515	21058715
5213	54802	Token Pack	10000	chips	472756	21510956
5263	54977	Token Pack	10000	chips	1510327	22558527
5288	55061	Compute Speed L4	2000000	chips	11785	23059985
5313	55148	Token Pack	10000	chips	496362	23554562
5363	55314	Token Pack	10000	chips	1408383	24476583
5405	55457	Stack Cap L4	2200000	chips	14943	25283143
5413	55488	Token Pack	10000	chips	218988	25497188
