# Progression simulation
# runs=29427 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=12 ppoNormalRunsPerPrestige=100
# finalChips=3962221 totalEarned=58840421 prestiges=8 insight=998 cycleInsight=0 lifetimeInsight=8478 simSeconds=200620
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished
4313	34753	Token Pack	10000	chips	314669	4322869
4318	34788	Solver PLAN-5	400000	chips	8396	4416596
4342	34945	Stack Cap L3	400000	chips	14108	4822308
4361	35089	Queue Preview	400000	chips	14795	5222995
4363	35104	Token Pack	10000	chips	49208	5267408
4379	35223	Agent Overclocker	400000	chips	8085	5626285
4409	35402	Difficulty L3	600000	chips	7987	6226187
4413	35423	Token Pack	10000	chips	76596	6304796
4445	35600	Agent Quartermaster	650000	chips	17526	6895726
4463	35695	Token Pack	10000	chips	302449	7190649
4485	35816	Compute Speed L3	700000	chips	3787	7591987
4513	35971	Token Pack	10000	chips	496729	8094929
4522	36026	Active Multiplier L4	700000	chips	10270	8308470
4563	36242	Token Pack	10000	chips	696044	9004244
4568	36266	Profitable Ending L3	750000	chips	14060	9072260
4608	36480	Passive Yield L4	750000	chips	15730	9823930
4613	36507	Token Pack	10000	chips	89290	9907490
4656	36733	Speed L4	800000	chips	6576	10624776
4663	36760	Token Pack	10000	chips	108634	10736834
4706	36929	Solver MOCA+	900000	chips	5693	11533893
4713	36957	Token Pack	10000	chips	125031	11663231
4756	37124	Scaling Frequency L3	900000	chips	17598	12455798
4763	37151	Token Pack	10000	chips	141894	12590094
4806	37310	Passive Tick Rate L4	900000	chips	2222	13350422
4813	37336	Token Pack	10000	chips	118706	13476906
4863	37519	Token Pack	10000	chips	979459	14347659
4865	37526	Agent Restart Sponsor	1000000	chips	12089	14380289
4913	37704	Token Pack	10000	chips	883706	15261906
4944	37822	Extra Agent Slot	1500000	chips	12181	15890381
4963	37895	Token Pack	10000	chips	439383	16327583
5013	38079	Token Pack	10000	chips	1493705	17391905
5014	38083	Agent Token Prospector	1500000	chips	28461	17426661
5063	38263	Token Pack	10000	chips	1070557	18478757
5099	38397	Solver MCTS	1800000	chips	16179	19224379
5113	38449	Token Pack	10000	chips	263022	19481222
5163	38635	Token Pack	10000	chips	1322060	20550260
5190	38735	Difficulty L4	1800000	chips	30515	21058715
5213	38814	Token Pack	10000	chips	472756	21510956
5263	38988	Token Pack	10000	chips	1510327	22558527
5288	39072	Compute Speed L4	2000000	chips	11785	23059985
5313	39159	Token Pack	10000	chips	496362	23554562
