# Progression simulation
# runs=28011 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=25 ppoNormalRunsPerPrestige=500 ppoTrainingMovesPerRun=220
# finalChips=0 totalEarned=500000 prestiges=25 insight=56767 cycleInsight=952 lifetimeInsight=614678 simSeconds=278332
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished
15	Prestige #16	24031	223004	6401
16	First solver bought	24031	223004	0
16	Auto Solve	24031	223004	0
16	Auto Restart	24031	223004	0
16	Solver Tuning	24031	223004	0
16	Datacenter unlocked	24031	223004	0
16	Agents Menu	24050	223189	185
16	All agents hired	24353	224590	1586
16	Modifiers Menu	24457	224921	1917
16	All chip upgrades maxed	24471	224976	1972
16	All modifiers maxed (PPO gate)	24475	224996	1992
16	PPO bought	24481	225028	2024
16	PPO Normal mode	24481	225028	2024
16	Prestige #17	24482	229285	6281
17	First solver bought	24482	229285	0
17	Auto Solve	24482	229285	0
17	Auto Restart	24482	229285	0
17	Solver Tuning	24482	229285	0
17	Datacenter unlocked	24482	229285	0
17	Agents Menu	24498	229452	167
17	All agents hired	24798	230833	1548
17	Modifiers Menu	24900	231157	1872
17	All chip upgrades maxed	24917	231227	1942
17	All modifiers maxed (PPO gate)	24922	231250	1965
17	PPO bought	24930	231291	2005
17	PPO Normal mode	24930	231291	2005
17	Prestige #18	24931	235570	6285
18	First solver bought	24931	235570	0
18	Auto Solve	24931	235570	0
18	Auto Restart	24931	235570	0
18	Solver Tuning	24931	235570	0
18	Datacenter unlocked	24931	235570	0
18	Agents Menu	24948	235744	174
18	All agents hired	25237	237098	1528
18	Modifiers Menu	25403	237601	2031
18	All modifiers maxed (PPO gate)	25411	237628	2058
18	All chip upgrades maxed	25411	237628	2058
18	PPO bought	25415	237649	2079
18	PPO Normal mode	25415	237649	2079
18	Prestige #19	25416	241863	6293
19	First solver bought	25416	241863	0
19	Auto Solve	25416	241863	0
19	Auto Restart	25416	241863	0
19	Solver Tuning	25416	241863	0
19	Datacenter unlocked	25416	241863	0
19	Agents Menu	25429	242002	139
19	All agents hired	25709	243301	1438
19	Modifiers Menu	25813	243625	1762
19	All chip upgrades maxed	25830	243693	1830
19	All modifiers maxed (PPO gate)	25834	243714	1850
19	PPO bought	25841	243750	1886
19	PPO Normal mode	25841	243750	1886
19	Prestige #20	25842	247961	6097
20	First solver bought	25842	247961	0
20	Auto Solve	25842	247961	0
20	Auto Restart	25842	247961	0
20	Solver Tuning	25842	247961	0
20	Datacenter unlocked	25842	247961	0
20	Agents Menu	25855	248097	137
20	All agents hired	26136	249410	1449
20	All chip upgrades maxed	26332	250001	2040
20	Modifiers Menu	26337	250017	2057
20	All modifiers maxed (PPO gate)	26352	250076	2115
20	PPO bought	26359	250112	2151
20	PPO Normal mode	26359	250112	2151
20	Prestige #21	26360	254425	6464
21	First solver bought	26360	254425	0
21	Auto Solve	26360	254425	0
21	Auto Restart	26360	254425	0
21	Solver Tuning	26360	254425	0
21	Datacenter unlocked	26360	254425	0
21	Agents Menu	26372	254559	134
21	All agents hired	26645	255828	1403
21	Modifiers Menu	26769	256210	1786
21	All chip upgrades maxed	26783	256269	1845
21	All modifiers maxed (PPO gate)	26786	256286	1861
21	PPO bought	26793	256320	1896
21	PPO Normal mode	26793	256320	1896
21	Prestige #22	26794	260405	5980
22	First solver bought	26794	260405	0
22	Auto Solve	26794	260405	0
22	Auto Restart	26794	260405	0
22	Solver Tuning	26794	260405	0
22	Datacenter unlocked	26794	260405	0
22	Agents Menu	26807	260536	131
22	All agents hired	27082	261811	1406
22	Modifiers Menu	27165	262072	1667
22	All chip upgrades maxed	27181	262135	1730
22	All modifiers maxed (PPO gate)	27185	262156	1752
22	PPO bought	27194	262203	1798
22	PPO Normal mode	27194	262203	1798
22	Prestige #23	27195	266328	5923
23	First solver bought	27195	266328	0
23	Auto Solve	27195	266328	0
23	Auto Restart	27195	266328	0
23	Solver Tuning	27195	266328	0
23	Datacenter unlocked	27195	266328	0
23	Agents Menu	27208	266463	135
23	All agents hired	27483	267730	1402
23	Modifiers Menu	27593	268069	1741
23	All chip upgrades maxed	27610	268136	1808
23	All modifiers maxed (PPO gate)	27615	268160	1832
23	PPO bought	27621	268191	1863
23	PPO Normal mode	27621	268191	1863
23	Prestige #24	27622	272468	6140
24	First solver bought	27622	272468	0
24	Auto Solve	27622	272468	0
24	Auto Restart	27622	272468	0
24	Solver Tuning	27622	272468	0
24	Datacenter unlocked	27622	272468	0
24	Agents Menu	27634	272597	129
24	All agents hired	27865	273690	1222
24	Modifiers Menu	27990	274072	1604
24	All chip upgrades maxed	28001	274114	1646
24	All modifiers maxed (PPO gate)	28005	274135	1667
24	PPO bought	28010	274160	1692
24	PPO Normal mode	28010	274160	1692
24	Prestige #25	28011	278332	5864
25	First solver bought	28011	278332	0
25	Auto Solve	28011	278332	0
