PPO learning measurement (shared model, 8 parallel workers) | hidden 64 | cap 10 q5 diff 3
Modifiers: Unstable Stack L5, Catalyst Stack L1, Mirror Stack L1, Joker L1, Miner's Pickaxe L5, Queue Scrubber L5, Neural Accelerator L1
Effective training runs: 100 032 in 3971s  (25 runs/s, ~8x wall-clock speedup)
Note: weights are averaged across workers each cycle (parallel SGD); the curve is the consensus model's cumulative progress.

EffectiveRuns	AvgHigh	AvgScore	PeakHigh
81301-81600	1703	6321	65536
81601-81900	1343	5748	32768
81901-82200	1136	5201	32768
82201-82500	1419	5707	32768
82501-82800	1262	5365	32768
82801-83100	1590	6196	32768
83101-83400	1341	5809	16384
83401-83700	1474	5754	32768
83701-84000	1587	6045	32768
84001-84300	1171	5192	16384
84301-84600	1858	6335	131072
84601-84900	1507	5891	32768
84901-85200	1457	5675	65536
85201-85500	1412	5624	32768
85501-85800	1903	6649	65536
85801-86100	1293	5481	16384
86101-86400	1754	6355	32768
86401-86700	2160	7334	262144
86701-87000	2240	7387	262144
87001-87300	1778	6345	32768
87301-87600	1463	5737	16384
87601-87900	1242	5491	16384
87901-88200	1576	6107	32768
88201-88500	1770	6547	131072
88501-88800	1522	5896	65536
88801-89100	1256	5151	65536
89101-89400	1127	4874	32768
89401-89700	1196	4862	32768
89701-90000	1487	5517	65536
90001-90300	1147	4965	32768
90301-90600	1233	5255	32768
90601-90900	1305	5360	65536
90901-91200	1472	5642	65536
91201-91500	2869	8379	524288
91501-91800	1146	5050	16384
91801-92100	1673	6127	131072
92101-92400	2356	7763	262144
92401-92700	2059	7262	65536
92701-93000	5288	13493	1048576
93001-93300	1493	5881	32768
93301-93600	1453	5773	32768
93601-93900	1542	6020	32768
93901-94200	1175	5165	32768
94201-94500	1577	6056	32768
94501-94800	1376	5727	32768
94801-95100	1204	5358	16384
95101-95400	1877	6713	131072
95401-95700	1228	5212	32768
95701-96000	2300	7685	262144
96001-96300	1712	6617	65536
96301-96600	1405	5692	32768
96601-96900	8467	19827	2097152
96901-97200	1291	5506	16384
97201-97500	1445	5809	32768
97501-97800	2068	7023	131072
97801-98100	1292	5208	16384
98101-98400	1280	5166	65536
98401-98700	1212	4963	32768
98701-99000	1356	5205	65536
99001-99300	1378	5400	32768
99301-99600	1332	5463	16384
99601-99900	1728	6358	131072
99901-100032	1341	5553	32768
