# Progression simulation
# runs=8000 seed=12345 moveCap=1000 manualProxy=Rand
# Purchases:
Run	Label	Cost	ChipsAfter	TotalEarnedAfter
2020	26251815	51582	84490015	Combo	3656	187	128	
2040	27978593	287336	86216793	Combo	7588	161	1024	
2060	29724225	157992	87962425	Combo	5986	171	512	
2080	31176884	30351	89415084	Combo	3074	146	128	
2100	32610820	56631	90849020	Combo	3637	133	256	
2120	34575142	117359	92813342	Combo	4500	128	512	
2140	35919183	38803	94157383	Combo	3410	116	128	
2160	37189066	35892	95427266	Combo	2947	141	128	
2180	38897753	70869	97135953	Combo	3883	147	256	
2200	40550356	17122	98788556	Combo	1855	102	128	
2220	42413880	153976	100652080	Combo	6000	133	512	
2240	43913330	69749	102151530	Combo	4115	140	256	
2260	45289301	36939	103527501	Combo	3315	142	128	
2280	46589975	39518	104828175	Combo	3487	129	128	
2300	48136044	96846	106374244	Combo	3640	133	512	
2320	49412348	65347	107650548	Combo	4453	203	128	
2340	50936646	23975	109174846	Combo	2379	123	128	
2360	52443380	119614	110681580	Combo	4439	139	512	
2380	54169724	32526	112407924	Combo	2777	124	128	
2400	55710068	122651	113948268	Combo	4748	166	512	
2420	57120357	55688	115358557	Combo	3389	136	256	
2440	58549310	75519	116787510	Combo	4187	152	256	
2460	60071847	157362	118310047	Combo	6264	185	512	
2480	61301281	49010	119539481	Combo	3259	142	256	
2500	62585166	111729	120823366	Combo	4343	147	512	
2520	63788936	42550	122027136	Combo	3140	150	128	
2540	65291810	43013	123530010	Combo	3003	97	256	
2560	66801223	70571	125039423	Combo	4099	154	256	
2580	68024894	43061	126263094	Combo	3520	155	128	
2600	69635378	57844	127873578	Combo	4436	160	128	
2620	70894442	70743	129132642	Combo	4826	174	128	
2640	72326054	254156	130564254	Combo	6092	124	1024	
2660	73558256	103777	131796456	Combo	4664	168	256	
2680	75041202	41119	133279402	Combo	3938	139	128	
2700	76670956	79989	134909156	Combo	4925	170	256	
2720	77984920	60808	136223120	Combo	4065	186	128	
2740	79802818	65150	138041018	Combo	4302	150	256	
2760	81226429	43218	139464629	Combo	2862	135	256	
2780	82673675	108088	140911875	Combo	4087	122	512	
2800	84222134	85441	142460334	Combo	4355	193	256	
2820	85957030	72708	144195230	Combo	3705	139	256	
2840	87301796	63788	145539996	Combo	4156	126	256	
2860	88951892	121974	147190092	Combo	5016	157	512	
2880	90640163	36175	148878363	Combo	3237	150	128	
2900	91830397	41413	150068597	Combo	3324	161	128	
2920	93366534	44879	151604734	Combo	3431	115	256	
2940	94601756	40150	152839956	Combo	2806	121	256	
2960	95867516	44723	154105716	Combo	3298	134	256	
2980	97331663	28119	155569863	Combo	2656	131	128	
3000	99142637	85264	157380837	Combo	4835	185	256	
3020	100936760	45299	159174960	Combo	3709	134	128	
3040	102020144	72381	160258344	Combo	4233	165	256	
3060	103609844	85713	161848044	Combo	4283	123	256	
3080	105480610	132359	163718810	Combo	5016	136	512	
3100	106856354	101042	165094554	Combo	5809	169	256	
3120	108700745	34941	166938945	Combo	3727	125	128	
3140	110514109	75252	168752309	Combo	3564	113	256	
3160	112158551	73523	170396751	Combo	5323	167	128	
3180	113829614	83395	172067814	Combo	3972	155	256	
3200	115430669	51500	173668869	Combo	3126	149	256	
3220	116772853	136997	175011053	Combo	5049	179	512	
3240	118453091	92654	176691291	Combo	4989	185	256	
3260	119932904	17640	178171104	Combo	1841	114	128	
3280	121620594	62963	179858794	Combo	3920	111	256	
3300	123385978	36549	181624178	Combo	3511	124	128	
3320	124842004	84615	183080204	Combo	3487	115	512	
3340	127124150	33063	185362350	Combo	3210	136	128	
3360	128610802	103679	186849002	Combo	3880	104	512	
3380	129925021	70348	188163221	Combo	4696	135	256	
3400	131759284	135803	189997484	Combo	4742	194	512	
3420	133255280	83425	191493480	Combo	4402	150	256	
3440	134946689	38953	193184889	Combo	3466	144	128	
3460	136402289	48533	194640489	Combo	2537	130	256	
3480	138133675	56975	196371875	Combo	4019	165	128	
3500	139815354	139885	198053554	Combo	4172	134	512	
3520	141479376	150303	199717576	Combo	6285	205	256	
3540	142900136	48375	201138336	Combo	3674	152	128	
3560	144792344	122013	203030544	Combo	4637	163	512	
3580	146423498	55652	204661698	Combo	3415	151	256	
3600	148085831	67486	206324031	Combo	3675	127	256	
3620	149622418	62720	207860618	Combo	3422	147	256	
