# Progression simulation
# runs=7556 seed=12345 moveCap=1000 manualProxy=Rand stopAtPpo=False simulateResearch=True targetPrestiges=6 ppoNormalRunsPerPrestige=100
# finalChips=900000 totalEarned=900000 prestiges=6 insight=20383 cycleInsight=0 lifetimeInsight=22866
# Purchases:
Run	Label	Cost	Currency	BalanceAfter	TotalEarnedAfter
4307	Difficulty L1	60000	chips	660840	840
4307	Stack Cap L2	70000	chips	590840	840
4307	Solver LOOK	80000	chips	510840	840
4307	Agents Menu	120000	chips	390840	840
4307	Agent Merge Broker	60000	chips	330840	840
4307	Agent Highwater Analyst	120000	chips	210840	840
4307	Solver PLAN-3	130000	chips	80840	840
4310	Speed L3	150000	chips	20939	90939
4316	Solver COMBO	180000	chips	14154	264154
4323	Solver MOCA	220000	chips	32219	502219
4332	Agent Score Auditor	220000	chips	11361	701361
4350	Chip Yield	350000	chips	37065	1077065
4361	Solver PLAN-5	400000	chips	11581	1451581
4374	Stack Cap L3	400000	chips	8203	1848203
4384	Queue Preview	400000	chips	11569	2251569
4396	Agent Overclocker	400000	chips	46080	2686080
4411	Difficulty L2	600000	chips	34450	3274450
4429	Agent Quartermaster	650000	chips	39381	3929381
4446	Speed L4	800000	chips	7525	4697525
4473	Solver MOCA+	900000	chips	9383	5599383
4501	Agent Restart Sponsor	1000000	chips	8414	6598414
4537	Extra Agent Slot	1500000	chips	17532	8107532
4579	Agent Token Prospector	1500000	chips	2501	9592501
4633	Solver MCTS	1800000	chips	3116	11393116
4694	Stack Cap L4	2200000	chips	15042	13605042
4745	Agent Move Dividend	2200000	chips	50226	15840226
4804	Chip Yield	2500000	chips	50111	18340111
4863	Agent Velocity Trader	3000000	chips	34624	21324624
4947	Speed L5	4000000	chips	22576	25312576
5073	Difficulty L3	6000000	chips	25998	31315998
5167	Modifiers Menu	3000000	chips	1961612	36251612
5167	Modifier Unstable Stack L1	800000	chips	1161612	36251612
5169	Modifier Unstable Stack L2	1600000	chips	186863	36876863
5177	Modifier Queue Scrubber L1	1800000	chips	197011	38687011
5186	Modifier Miner's Pickaxe L1	2000000	chips	257548	40747548
5196	Modifier Catalyst Stack L1	3000000	chips	158987	43648987
5201	Modifier Mirror Stack L1	3000000	chips	347187	46837187
5204	Modifier Unstable Stack L3	3200000	chips	990568	50680568
5207	Modifier Queue Scrubber L2	3600000	chips	749403	54039403
5211	Modifier Miner's Pickaxe L2	4000000	chips	1330729	58620729
5213	Modifier Joker L1	4500000	chips	91718	61881718
5218	Modifier Neural Accelerator L1	6000000	chips	2547030	70337030
5221	Modifier Unstable Stack L4	6400000	chips	1535264	75725264
5225	Modifier Queue Scrubber L3	7200000	chips	984108	82374108
5231	Modifier Miner's Pickaxe L3	8000000	chips	1370580	90760580
5239	Stack Cap L5	11000000	chips	635207	101025207
5243	Modifier Unstable Stack L5	12800000	chips	1247897	114437897
